country,cum.deaths,date.POSIXct
USA,0,2020-01-11T07:00:00Z
Brazil,0,2020-01-11T07:00:00Z
India,0,2020-01-11T07:00:00Z
Mexico,0,2020-01-11T07:00:00Z
UK,0,2020-01-11T07:00:00Z
Italy,0,2020-01-11T07:00:00Z
Peru,0,2020-01-11T07:00:00Z
Spain,0,2020-01-11T07:00:00Z
France,0,2020-01-11T07:00:00Z
Iran,0,2020-01-11T07:00:00Z
Colombia,0,2020-01-11T07:00:00Z
Russia,0,2020-01-11T07:00:00Z
South Africa,0,2020-01-11T07:00:00Z
Argentina,0,2020-01-11T07:00:00Z
Chile,0,2020-01-11T07:00:00Z
Ecuador,0,2020-01-11T07:00:00Z
Indonesia,0,2020-01-11T07:00:00Z
Belgium,0,2020-01-11T07:00:00Z
Germany,0,2020-01-11T07:00:00Z
Canada,0,2020-01-11T07:00:00Z
Iraq,0,2020-01-11T07:00:00Z
Turkey,0,2020-01-11T07:00:00Z
Bolivia,0,2020-01-11T07:00:00Z
Pakistan,0,2020-01-11T07:00:00Z
Netherlands,0,2020-01-11T07:00:00Z
Egypt,0,2020-01-11T07:00:00Z
Sweden,0,2020-01-11T07:00:00Z
Philippines,0,2020-01-11T07:00:00Z
Bangladesh,0,2020-01-11T07:00:00Z
Romania,0,2020-01-11T07:00:00Z
Saudi Arabia,0,2020-01-11T07:00:00Z
China,1,2020-01-11T07:00:00Z
Ukraine,0,2020-01-11T07:00:00Z
Guatemala,0,2020-01-11T07:00:00Z
Poland,0,2020-01-11T07:00:00Z
Panama,0,2020-01-11T07:00:00Z
Honduras,0,2020-01-11T07:00:00Z
Morocco,0,2020-01-11T07:00:00Z
Dominican Republic,0,2020-01-11T07:00:00Z
Kazakhstan,0,2020-01-11T07:00:00Z
Portugal,0,2020-01-11T07:00:00Z
Ireland,0,2020-01-11T07:00:00Z
Switzerland,0,2020-01-11T07:00:00Z
Algeria,0,2020-01-11T07:00:00Z
Japan,0,2020-01-11T07:00:00Z
Israel,0,2020-01-11T07:00:00Z
Afghanistan,0,2020-01-11T07:00:00Z
Moldova,0,2020-01-11T07:00:00Z
Ethiopia,0,2020-01-11T07:00:00Z
Nigeria,0,2020-01-11T07:00:00Z
Kyrgyzstan,0,2020-01-11T07:00:00Z
Armenia,0,2020-01-11T07:00:00Z
Oman,0,2020-01-11T07:00:00Z
Australia,0,2020-01-11T07:00:00Z
Costa Rica,0,2020-01-11T07:00:00Z
Bosnia and Herzegovina,0,2020-01-11T07:00:00Z
El Salvador,0,2020-01-11T07:00:00Z
Paraguay,0,2020-01-11T07:00:00Z
Sudan,0,2020-01-11T07:00:00Z
Belarus,0,2020-01-11T07:00:00Z
Bulgaria,0,2020-01-11T07:00:00Z
Austria,0,2020-01-11T07:00:00Z
Hungary,0,2020-01-11T07:00:00Z
Serbia,0,2020-01-11T07:00:00Z
North Macedonia,0,2020-01-11T07:00:00Z
Kenya,0,2020-01-11T07:00:00Z
Puerto Rico,0,2020-01-11T07:00:00Z
Czechia,0,2020-01-11T07:00:00Z
Denmark,0,2020-01-11T07:00:00Z
Venezuela,0,2020-01-11T07:00:00Z
Kosovo,0,2020-01-11T07:00:00Z
Kuwait,0,2020-01-11T07:00:00Z
Azerbaijan,0,2020-01-11T07:00:00Z
Yemen,0,2020-01-11T07:00:00Z
Libya,0,2020-01-11T07:00:00Z
Nepal,0,2020-01-11T07:00:00Z
Uzbekistan,0,2020-01-11T07:00:00Z
Cameroon,0,2020-01-11T07:00:00Z
UAE,0,2020-01-11T07:00:00Z
South Korea,0,2020-01-11T07:00:00Z
Greece,0,2020-01-11T07:00:00Z
Albania,0,2020-01-11T07:00:00Z
Palestine,0,2020-01-11T07:00:00Z
Lebanon,0,2020-01-11T07:00:00Z
Finland,0,2020-01-11T07:00:00Z
Zambia,0,2020-01-11T07:00:00Z
Senegal,0,2020-01-11T07:00:00Z
Myanmar,0,2020-01-11T07:00:00Z
Ghana,0,2020-01-11T07:00:00Z
Croatia,0,2020-01-11T07:00:00Z
Norway,0,2020-01-11T07:00:00Z
DRC,0,2020-01-11T07:00:00Z
Bahrain,0,2020-01-11T07:00:00Z
Tunisia,0,2020-01-11T07:00:00Z
Madagascar,0,2020-01-11T07:00:00Z
Haiti,0,2020-01-11T07:00:00Z
Zimbabwe,0,2020-01-11T07:00:00Z
Qatar,0,2020-01-11T07:00:00Z
Syria,0,2020-01-11T07:00:00Z
Angola,0,2020-01-11T07:00:00Z
Malawi,0,2020-01-11T07:00:00Z
Montenegro,0,2020-01-11T07:00:00Z
Mauritania,0,2020-01-11T07:00:00Z
Nicaragua,0,2020-01-11T07:00:00Z
Slovenia,0,2020-01-11T07:00:00Z
Malaysia,0,2020-01-11T07:00:00Z
Mali,0,2020-01-11T07:00:00Z
Luxembourg,0,2020-01-11T07:00:00Z
Cuba,0,2020-01-11T07:00:00Z
Namibia,0,2020-01-11T07:00:00Z
Cote d'Ivoire,0,2020-01-11T07:00:00Z
Gambia,0,2020-01-11T07:00:00Z
Eswatini,0,2020-01-11T07:00:00Z
Jamaica,0,2020-01-11T07:00:00Z
Suriname,0,2020-01-11T07:00:00Z
Somalia,0,2020-01-11T07:00:00Z
Bahamas,0,2020-01-11T07:00:00Z
Lithuania,0,2020-01-11T07:00:00Z
Congo,0,2020-01-11T07:00:00Z
Chad,0,2020-01-11T07:00:00Z
Equatorial Guinea,0,2020-01-11T07:00:00Z
Liberia,0,2020-01-11T07:00:00Z
Guyana,0,2020-01-11T07:00:00Z
Tajikistan,0,2020-01-11T07:00:00Z
Trinidad and Tobago,0,2020-01-11T07:00:00Z
Uganda,0,2020-01-11T07:00:00Z
Sierra Leone,0,2020-01-11T07:00:00Z
Niger,0,2020-01-11T07:00:00Z
Guinea,0,2020-01-11T07:00:00Z
French Guiana,0,2020-01-11T07:00:00Z
Estonia,0,2020-01-11T07:00:00Z
Central African Republic,0,2020-01-11T07:00:00Z
Jordan,0,2020-01-11T07:00:00Z
Djibouti,0,2020-01-11T07:00:00Z
Mozambique,0,2020-01-11T07:00:00Z
Cabo Verde,0,2020-01-11T07:00:00Z
Thailand,0,2020-01-11T07:00:00Z
Burkina Faso,0,2020-01-11T07:00:00Z
Guadeloupe,0,2020-01-11T07:00:00Z
Gabon,0,2020-01-11T07:00:00Z
Andorra,0,2020-01-11T07:00:00Z
Guam,0,2020-01-11T07:00:00Z
South Sudan,0,2020-01-11T07:00:00Z
Togo,0,2020-01-11T07:00:00Z
Uruguay,0,2020-01-11T07:00:00Z
Slovakia,0,2020-01-11T07:00:00Z
San Marino,0,2020-01-11T07:00:00Z
Mayotte,0,2020-01-11T07:00:00Z
Benin,0,2020-01-11T07:00:00Z
Georgia,0,2020-01-11T07:00:00Z
Guinea-Bissau,0,2020-01-11T07:00:00Z
Latvia,0,2020-01-11T07:00:00Z
Lesotho,0,2020-01-11T07:00:00Z
Vietnam,0,2020-01-11T07:00:00Z
Malta,0,2020-01-11T07:00:00Z
Maldives,0,2020-01-11T07:00:00Z
Jersey,0,2020-01-11T07:00:00Z
Rwanda,0,2020-01-11T07:00:00Z
Singapore,0,2020-01-11T07:00:00Z
Belize,0,2020-01-11T07:00:00Z
Aruba,0,2020-01-11T07:00:00Z
New Zealand,0,2020-01-11T07:00:00Z
Isle of Man,0,2020-01-11T07:00:00Z
Cyprus,0,2020-01-11T07:00:00Z
Sint Maarten,0,2020-01-11T07:00:00Z
Martinique,0,2020-01-11T07:00:00Z
Tanzania,0,2020-01-11T07:00:00Z
US Virgin Islands,0,2020-01-11T07:00:00Z
Botswana,0,2020-01-11T07:00:00Z
Reunion,0,2020-01-11T07:00:00Z
São Tomé and Príncipe,0,2020-01-11T07:00:00Z
Other,0,2020-01-11T07:00:00Z
Sri Lanka,0,2020-01-11T07:00:00Z
Guernsey,0,2020-01-11T07:00:00Z
Iceland,0,2020-01-11T07:00:00Z
Mauritius,0,2020-01-11T07:00:00Z
Bermuda,0,2020-01-11T07:00:00Z
Saint Martin,0,2020-01-11T07:00:00Z
Barbados,0,2020-01-11T07:00:00Z
Comoros,0,2020-01-11T07:00:00Z
Papua New Guinea,0,2020-01-11T07:00:00Z
French Polynesia,0,2020-01-11T07:00:00Z
Turks and Caicos,0,2020-01-11T07:00:00Z
Brunei,0,2020-01-11T07:00:00Z
Antigua and Barbuda,0,2020-01-11T07:00:00Z
Northern Mariana Islands,0,2020-01-11T07:00:00Z
Fiji,0,2020-01-11T07:00:00Z
Cayman Islands,0,2020-01-11T07:00:00Z
Curaçao,0,2020-01-11T07:00:00Z
Liechtenstein,0,2020-01-11T07:00:00Z
Monaco,0,2020-01-11T07:00:00Z
British Virgin Islands,0,2020-01-11T07:00:00Z
Burundi,0,2020-01-11T07:00:00Z
Montserrat,0,2020-01-11T07:00:00Z
Caribbean Netherlands,0,2020-01-11T07:00:00Z
USA,0,2020-02-01T07:00:00Z
Brazil,0,2020-02-01T07:00:00Z
India,0,2020-02-01T07:00:00Z
Mexico,0,2020-02-01T07:00:00Z
UK,0,2020-02-01T07:00:00Z
Italy,0,2020-02-01T07:00:00Z
Peru,0,2020-02-01T07:00:00Z
Spain,0,2020-02-01T07:00:00Z
France,0,2020-02-01T07:00:00Z
Iran,0,2020-02-01T07:00:00Z
Colombia,0,2020-02-01T07:00:00Z
Russia,0,2020-02-01T07:00:00Z
South Africa,0,2020-02-01T07:00:00Z
Argentina,0,2020-02-01T07:00:00Z
Chile,0,2020-02-01T07:00:00Z
Ecuador,0,2020-02-01T07:00:00Z
Indonesia,0,2020-02-01T07:00:00Z
Belgium,0,2020-02-01T07:00:00Z
Germany,0,2020-02-01T07:00:00Z
Canada,0,2020-02-01T07:00:00Z
Iraq,0,2020-02-01T07:00:00Z
Turkey,0,2020-02-01T07:00:00Z
Bolivia,0,2020-02-01T07:00:00Z
Pakistan,0,2020-02-01T07:00:00Z
Netherlands,0,2020-02-01T07:00:00Z
Egypt,0,2020-02-01T07:00:00Z
Sweden,0,2020-02-01T07:00:00Z
Philippines,0,2020-02-01T07:00:00Z
Bangladesh,0,2020-02-01T07:00:00Z
Romania,0,2020-02-01T07:00:00Z
Saudi Arabia,0,2020-02-01T07:00:00Z
China,259,2020-02-01T07:00:00Z
Ukraine,0,2020-02-01T07:00:00Z
Guatemala,0,2020-02-01T07:00:00Z
Poland,0,2020-02-01T07:00:00Z
Panama,0,2020-02-01T07:00:00Z
Honduras,0,2020-02-01T07:00:00Z
Morocco,0,2020-02-01T07:00:00Z
Dominican Republic,0,2020-02-01T07:00:00Z
Kazakhstan,0,2020-02-01T07:00:00Z
Portugal,0,2020-02-01T07:00:00Z
Ireland,0,2020-02-01T07:00:00Z
Switzerland,0,2020-02-01T07:00:00Z
Algeria,0,2020-02-01T07:00:00Z
Japan,0,2020-02-01T07:00:00Z
Israel,0,2020-02-01T07:00:00Z
Afghanistan,0,2020-02-01T07:00:00Z
Moldova,0,2020-02-01T07:00:00Z
Ethiopia,0,2020-02-01T07:00:00Z
Nigeria,0,2020-02-01T07:00:00Z
Kyrgyzstan,0,2020-02-01T07:00:00Z
Armenia,0,2020-02-01T07:00:00Z
Oman,0,2020-02-01T07:00:00Z
Australia,0,2020-02-01T07:00:00Z
Costa Rica,0,2020-02-01T07:00:00Z
Bosnia and Herzegovina,0,2020-02-01T07:00:00Z
El Salvador,0,2020-02-01T07:00:00Z
Paraguay,0,2020-02-01T07:00:00Z
Sudan,0,2020-02-01T07:00:00Z
Belarus,0,2020-02-01T07:00:00Z
Bulgaria,0,2020-02-01T07:00:00Z
Austria,0,2020-02-01T07:00:00Z
Hungary,0,2020-02-01T07:00:00Z
Serbia,0,2020-02-01T07:00:00Z
North Macedonia,0,2020-02-01T07:00:00Z
Kenya,0,2020-02-01T07:00:00Z
Puerto Rico,0,2020-02-01T07:00:00Z
Czechia,0,2020-02-01T07:00:00Z
Denmark,0,2020-02-01T07:00:00Z
Venezuela,0,2020-02-01T07:00:00Z
Kosovo,0,2020-02-01T07:00:00Z
Kuwait,0,2020-02-01T07:00:00Z
Azerbaijan,0,2020-02-01T07:00:00Z
Yemen,0,2020-02-01T07:00:00Z
Libya,0,2020-02-01T07:00:00Z
Nepal,0,2020-02-01T07:00:00Z
Uzbekistan,0,2020-02-01T07:00:00Z
Cameroon,0,2020-02-01T07:00:00Z
UAE,0,2020-02-01T07:00:00Z
South Korea,0,2020-02-01T07:00:00Z
Greece,0,2020-02-01T07:00:00Z
Albania,0,2020-02-01T07:00:00Z
Palestine,0,2020-02-01T07:00:00Z
Lebanon,0,2020-02-01T07:00:00Z
Finland,0,2020-02-01T07:00:00Z
Zambia,0,2020-02-01T07:00:00Z
Senegal,0,2020-02-01T07:00:00Z
Myanmar,0,2020-02-01T07:00:00Z
Ghana,0,2020-02-01T07:00:00Z
Croatia,0,2020-02-01T07:00:00Z
Norway,0,2020-02-01T07:00:00Z
DRC,0,2020-02-01T07:00:00Z
Bahrain,0,2020-02-01T07:00:00Z
Tunisia,0,2020-02-01T07:00:00Z
Madagascar,0,2020-02-01T07:00:00Z
Haiti,0,2020-02-01T07:00:00Z
Zimbabwe,0,2020-02-01T07:00:00Z
Qatar,0,2020-02-01T07:00:00Z
Syria,0,2020-02-01T07:00:00Z
Angola,0,2020-02-01T07:00:00Z
Malawi,0,2020-02-01T07:00:00Z
Montenegro,0,2020-02-01T07:00:00Z
Mauritania,0,2020-02-01T07:00:00Z
Nicaragua,0,2020-02-01T07:00:00Z
Slovenia,0,2020-02-01T07:00:00Z
Malaysia,0,2020-02-01T07:00:00Z
Mali,0,2020-02-01T07:00:00Z
Luxembourg,0,2020-02-01T07:00:00Z
Cuba,0,2020-02-01T07:00:00Z
Namibia,0,2020-02-01T07:00:00Z
Cote d'Ivoire,0,2020-02-01T07:00:00Z
Gambia,0,2020-02-01T07:00:00Z
Eswatini,0,2020-02-01T07:00:00Z
Jamaica,0,2020-02-01T07:00:00Z
Suriname,0,2020-02-01T07:00:00Z
Somalia,0,2020-02-01T07:00:00Z
Bahamas,0,2020-02-01T07:00:00Z
Lithuania,0,2020-02-01T07:00:00Z
Congo,0,2020-02-01T07:00:00Z
Chad,0,2020-02-01T07:00:00Z
Equatorial Guinea,0,2020-02-01T07:00:00Z
Liberia,0,2020-02-01T07:00:00Z
Guyana,0,2020-02-01T07:00:00Z
Tajikistan,0,2020-02-01T07:00:00Z
Trinidad and Tobago,0,2020-02-01T07:00:00Z
Uganda,0,2020-02-01T07:00:00Z
Sierra Leone,0,2020-02-01T07:00:00Z
Niger,0,2020-02-01T07:00:00Z
Guinea,0,2020-02-01T07:00:00Z
French Guiana,0,2020-02-01T07:00:00Z
Estonia,0,2020-02-01T07:00:00Z
Central African Republic,0,2020-02-01T07:00:00Z
Jordan,0,2020-02-01T07:00:00Z
Djibouti,0,2020-02-01T07:00:00Z
Mozambique,0,2020-02-01T07:00:00Z
Cabo Verde,0,2020-02-01T07:00:00Z
Thailand,0,2020-02-01T07:00:00Z
Burkina Faso,0,2020-02-01T07:00:00Z
Guadeloupe,0,2020-02-01T07:00:00Z
Gabon,0,2020-02-01T07:00:00Z
Andorra,0,2020-02-01T07:00:00Z
Guam,0,2020-02-01T07:00:00Z
South Sudan,0,2020-02-01T07:00:00Z
Togo,0,2020-02-01T07:00:00Z
Uruguay,0,2020-02-01T07:00:00Z
Slovakia,0,2020-02-01T07:00:00Z
San Marino,0,2020-02-01T07:00:00Z
Mayotte,0,2020-02-01T07:00:00Z
Benin,0,2020-02-01T07:00:00Z
Georgia,0,2020-02-01T07:00:00Z
Guinea-Bissau,0,2020-02-01T07:00:00Z
Latvia,0,2020-02-01T07:00:00Z
Lesotho,0,2020-02-01T07:00:00Z
Vietnam,0,2020-02-01T07:00:00Z
Malta,0,2020-02-01T07:00:00Z
Maldives,0,2020-02-01T07:00:00Z
Jersey,0,2020-02-01T07:00:00Z
Rwanda,0,2020-02-01T07:00:00Z
Singapore,0,2020-02-01T07:00:00Z
Belize,0,2020-02-01T07:00:00Z
Aruba,0,2020-02-01T07:00:00Z
New Zealand,0,2020-02-01T07:00:00Z
Isle of Man,0,2020-02-01T07:00:00Z
Cyprus,0,2020-02-01T07:00:00Z
Sint Maarten,0,2020-02-01T07:00:00Z
Martinique,0,2020-02-01T07:00:00Z
Tanzania,0,2020-02-01T07:00:00Z
US Virgin Islands,0,2020-02-01T07:00:00Z
Botswana,0,2020-02-01T07:00:00Z
Reunion,0,2020-02-01T07:00:00Z
São Tomé and Príncipe,0,2020-02-01T07:00:00Z
Other,0,2020-02-01T07:00:00Z
Sri Lanka,0,2020-02-01T07:00:00Z
Guernsey,0,2020-02-01T07:00:00Z
Iceland,0,2020-02-01T07:00:00Z
Mauritius,0,2020-02-01T07:00:00Z
Bermuda,0,2020-02-01T07:00:00Z
Saint Martin,0,2020-02-01T07:00:00Z
Barbados,0,2020-02-01T07:00:00Z
Comoros,0,2020-02-01T07:00:00Z
Papua New Guinea,0,2020-02-01T07:00:00Z
French Polynesia,0,2020-02-01T07:00:00Z
Turks and Caicos,0,2020-02-01T07:00:00Z
Brunei,0,2020-02-01T07:00:00Z
Antigua and Barbuda,0,2020-02-01T07:00:00Z
Northern Mariana Islands,0,2020-02-01T07:00:00Z
Fiji,0,2020-02-01T07:00:00Z
Cayman Islands,0,2020-02-01T07:00:00Z
Curaçao,0,2020-02-01T07:00:00Z
Liechtenstein,0,2020-02-01T07:00:00Z
Monaco,0,2020-02-01T07:00:00Z
British Virgin Islands,0,2020-02-01T07:00:00Z
Burundi,0,2020-02-01T07:00:00Z
Montserrat,0,2020-02-01T07:00:00Z
Caribbean Netherlands,0,2020-02-01T07:00:00Z
USA,0,2020-03-01T07:00:00Z
Brazil,0,2020-03-01T07:00:00Z
India,0,2020-03-01T07:00:00Z
Mexico,0,2020-03-01T07:00:00Z
UK,0,2020-03-01T07:00:00Z
Italy,29,2020-03-01T07:00:00Z
Peru,0,2020-03-01T07:00:00Z
Spain,0,2020-03-01T07:00:00Z
France,2,2020-03-01T07:00:00Z
Iran,43,2020-03-01T07:00:00Z
Colombia,0,2020-03-01T07:00:00Z
Russia,0,2020-03-01T07:00:00Z
South Africa,0,2020-03-01T07:00:00Z
Argentina,0,2020-03-01T07:00:00Z
Chile,0,2020-03-01T07:00:00Z
Ecuador,0,2020-03-01T07:00:00Z
Indonesia,0,2020-03-01T07:00:00Z
Belgium,0,2020-03-01T07:00:00Z
Germany,0,2020-03-01T07:00:00Z
Canada,0,2020-03-01T07:00:00Z
Iraq,0,2020-03-01T07:00:00Z
Turkey,0,2020-03-01T07:00:00Z
Bolivia,0,2020-03-01T07:00:00Z
Pakistan,0,2020-03-01T07:00:00Z
Netherlands,0,2020-03-01T07:00:00Z
Egypt,0,2020-03-01T07:00:00Z
Sweden,0,2020-03-01T07:00:00Z
Philippines,1,2020-03-01T07:00:00Z
Bangladesh,0,2020-03-01T07:00:00Z
Romania,0,2020-03-01T07:00:00Z
Saudi Arabia,0,2020-03-01T07:00:00Z
China,2873,2020-03-01T07:00:00Z
Ukraine,0,2020-03-01T07:00:00Z
Guatemala,0,2020-03-01T07:00:00Z
Poland,0,2020-03-01T07:00:00Z
Panama,0,2020-03-01T07:00:00Z
Honduras,0,2020-03-01T07:00:00Z
Morocco,0,2020-03-01T07:00:00Z
Dominican Republic,0,2020-03-01T07:00:00Z
Kazakhstan,0,2020-03-01T07:00:00Z
Portugal,0,2020-03-01T07:00:00Z
Ireland,0,2020-03-01T07:00:00Z
Switzerland,0,2020-03-01T07:00:00Z
Algeria,0,2020-03-01T07:00:00Z
Japan,5,2020-03-01T07:00:00Z
Israel,0,2020-03-01T07:00:00Z
Afghanistan,0,2020-03-01T07:00:00Z
Moldova,0,2020-03-01T07:00:00Z
Ethiopia,0,2020-03-01T07:00:00Z
Nigeria,0,2020-03-01T07:00:00Z
Kyrgyzstan,0,2020-03-01T07:00:00Z
Armenia,0,2020-03-01T07:00:00Z
Oman,0,2020-03-01T07:00:00Z
Australia,0,2020-03-01T07:00:00Z
Costa Rica,0,2020-03-01T07:00:00Z
Bosnia and Herzegovina,0,2020-03-01T07:00:00Z
El Salvador,0,2020-03-01T07:00:00Z
Paraguay,0,2020-03-01T07:00:00Z
Sudan,0,2020-03-01T07:00:00Z
Belarus,0,2020-03-01T07:00:00Z
Bulgaria,0,2020-03-01T07:00:00Z
Austria,0,2020-03-01T07:00:00Z
Hungary,0,2020-03-01T07:00:00Z
Serbia,0,2020-03-01T07:00:00Z
North Macedonia,0,2020-03-01T07:00:00Z
Kenya,0,2020-03-01T07:00:00Z
Puerto Rico,0,2020-03-01T07:00:00Z
Czechia,0,2020-03-01T07:00:00Z
Denmark,0,2020-03-01T07:00:00Z
Venezuela,0,2020-03-01T07:00:00Z
Kosovo,0,2020-03-01T07:00:00Z
Kuwait,0,2020-03-01T07:00:00Z
Azerbaijan,0,2020-03-01T07:00:00Z
Yemen,0,2020-03-01T07:00:00Z
Libya,0,2020-03-01T07:00:00Z
Nepal,0,2020-03-01T07:00:00Z
Uzbekistan,0,2020-03-01T07:00:00Z
Cameroon,0,2020-03-01T07:00:00Z
UAE,0,2020-03-01T07:00:00Z
South Korea,18,2020-03-01T07:00:00Z
Greece,0,2020-03-01T07:00:00Z
Albania,0,2020-03-01T07:00:00Z
Palestine,0,2020-03-01T07:00:00Z
Lebanon,0,2020-03-01T07:00:00Z
Finland,0,2020-03-01T07:00:00Z
Zambia,0,2020-03-01T07:00:00Z
Senegal,0,2020-03-01T07:00:00Z
Myanmar,0,2020-03-01T07:00:00Z
Ghana,0,2020-03-01T07:00:00Z
Croatia,0,2020-03-01T07:00:00Z
Norway,0,2020-03-01T07:00:00Z
DRC,0,2020-03-01T07:00:00Z
Bahrain,0,2020-03-01T07:00:00Z
Tunisia,0,2020-03-01T07:00:00Z
Madagascar,0,2020-03-01T07:00:00Z
Haiti,0,2020-03-01T07:00:00Z
Zimbabwe,0,2020-03-01T07:00:00Z
Qatar,0,2020-03-01T07:00:00Z
Syria,0,2020-03-01T07:00:00Z
Angola,0,2020-03-01T07:00:00Z
Malawi,0,2020-03-01T07:00:00Z
Montenegro,0,2020-03-01T07:00:00Z
Mauritania,0,2020-03-01T07:00:00Z
Nicaragua,0,2020-03-01T07:00:00Z
Slovenia,0,2020-03-01T07:00:00Z
Malaysia,0,2020-03-01T07:00:00Z
Mali,0,2020-03-01T07:00:00Z
Luxembourg,0,2020-03-01T07:00:00Z
Cuba,0,2020-03-01T07:00:00Z
Namibia,0,2020-03-01T07:00:00Z
Cote d'Ivoire,0,2020-03-01T07:00:00Z
Gambia,0,2020-03-01T07:00:00Z
Eswatini,0,2020-03-01T07:00:00Z
